eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,attn_eeg_esg,attn_esg_emg,chain_score
10,5,3,EEG10,ESG5,EMG3,0.14286,0.25,0.0357143
2,7,3,EEG2,ESG7,EMG3,0.09091,0.25,0.0227273
3,7,3,EEG3,ESG7,EMG3,0.09091,0.25,0.0227273
4,14,3,EEG4,ESG14,EMG3,0.09091,0.25,0.0227273
4,7,3,EEG4,ESG7,EMG3,0.09091,0.25,0.0227273
8,14,3,EEG8,ESG14,EMG3,0.09091,0.25,0.0227273
15,14,3,EEG15,ESG14,EMG3,0.09091,0.25,0.0227273
19,14,3,EEG19,ESG14,EMG3,0.09091,0.25,0.0227273
23,7,3,EEG23,ESG7,EMG3,0.09091,0.25,0.0227273
24,14,3,EEG24,ESG14,EMG3,0.09091,0.25,0.0227273
